texts	labels
煮麪怎麼做？	cookbook
來一首李煜的詞。	poetry
我覺得什麼	chat
胃炎怎麼治？	health
湖南衛視娛樂節目。	epg
不想上班怎麼辦	chat
呃發信息給周玉豪	message
我要答覆郵件	email
明天去南昌的航班。	flight
出門去年是個這麼快呀	chat
我也聽新聞。	news
乳腺炎。	health
多想聽新聞，哦。	news
查七樂彩開獎結果	lottery
去你的用英文怎麼說	translation
汪意發是誰	chat
麻辣燙做法。	cookbook
中央臺五套	tvchannel
明天長沙到上海的航班	flight
紅燒土豆怎麼燒？	cookbook
寧鄉到長沙怎麼走	map
中信證券股票	stock
金瓶梅	video
開啓通訊錄	app
最近的科幻大片兒，有什麼？	video
我在跟你聊天兒嗎	chat
簡單的，糖醋排骨怎麼做？	cookbook
有什麼重要新聞嗎？	news
瀋陽今天天氣	weather
給我搜搜什麼電視臺什麼時間有轉播神探高倫布	epg
opera瀏覽器	app
出來約炮嗎	chat
我想聽昨天晚上的新聞。	news
最近好看的小說	novel
明天瀘州天氣如何	weather
設置提醒。	schedule
沙眼。	health
給園園發短信	message
民間小炒肉的做法。	cookbook
直接點什麼時候找到對的他	chat
管我什麼事	chat
哦來一首青花瓷	music
發短信給啊媽說車票買到了	message
魚香肉絲肉怎麼做？	cookbook
福建電視臺	tvchannel
明天珠海到青島的航班	flight
風車第十五集	video
發信息給熊偉	message
來一個燈謎，你。	riddle
甲型肝炎。	health
今天東莞新聞。	news
現在最好看的電影。	epg
查一下蘇州到洛陽的火車票	train
幫我查一下可樂雞翅怎麼做？	cookbook
南京到成都的機票	flight
世界地理的節目單	epg
你爲啥叫笨笨	chat
浙江電視臺	tvchannel
我要看湖南臺	tvchannel
辣，蘭州拉麪的配方。	cookbook
搜索電視劇愛情悠悠藥草香在哪個頻道首播？	epg
發郵件給瑩瑩說我好睏我想睡覺	email
打開個性鬧鐘	app
很晚了你不睡覺嗎	chat
早點死英文怎麼翻譯	translation
回看安徽衛視烽火佳人	epg
查找校園小說沙漏第二部	novel
勝者即是正義	video
烤牛排怎麼做？	cookbook
蒼溪的天氣	weather
我要查彩票的開獎信息。	lottery
大頭兒子小頭爸爸	video
查下李寧公司的股票	stock
給王濤打電話	telephone
給我講個長篇小說。	novel
電影中國合夥人	video
幫我轉發郵件	email
打電話給之山	telephone
查尋上海能源的股票	stock
告訴我今天的新聞內容	news
深圳至合肥的火車票	train
不怕啥	chat
我要看中央五臺	tvchannel
你認識徐俊嗎	chat
這個新聞有意思嗎	chat
怎麼治療口腔潰瘍呃呃呃	health
送黃炒雞蛋怎麼做？	cookbook
紫菜蛋花湯。	cookbook
來首隻愛你一個。	music
得了艾滋病怎麼辦	health
愛情公約	video
我想寫一個新郵件	email
進入訊飛官網	website
煲雞湯呢	cookbook
天氣如何	weather
幫我查一下贛州到杭州的火車票	train
誰美	chat
搜索結束軟件	app
答覆，我要聽新聞。	news
燈謎惑下。	riddle
我要猜字謎不笨有答案。	riddle
給我接聽電話	telephone
到鄭州火車站	map
知道麼	chat
7月25號去上海的航班。	flight
我要看古典仙俠小說	novel
查一查同方股份的股票	stock
我想看斯皮爾伯格導演的電影	video
你愛哈工大嗎	chat
撥打幺三九七七零九八七七六	telephone
去湘江	map
大閘蟹的做法。	cookbook
來一首月亮惹的禍	music
回鍋肉。	cookbook
來個最新新聞。	news
昨天的北京新聞	epg
新紮師妹	video
我要聽新聞，給我數。	news
貴溪至泉州的火車票	train
還要臉嗎	chat
打開豐順縣政府網	website
準備好了嗎？	chat
中國新聞網網站	website
看一看大樂透的信息	lottery
陳真	video
今天有些什麼電影？	epg
豔照門事件。	news
笨笨你的底層是基於什麼算法啊	chat
江蘇舜天隊這個星期的比賽時間給我找出來	match
大樂透中獎號碼爲	lottery
肥東人民廣播電臺調頻FM101.3	radio
給我來首唐詩三百首。	poetry
唐寅的詩。	poetry
長沙明天是什麼天氣	weather
幫我查一下週杰倫的歌	music
打開系統軟件清理	app
怎麼對	chat
發短信給葉少雲晚上要不要出去玩	message
你有幾個小妹妹	chat
放首歌聽一下你好	music
那做紅燒魚需要哪些材料啊？	cookbook
怎麼做魚呢？	cookbook
靜脈曲張怎麼治療？哦？	health
出租車的英文怎麼說	translation
我想聽11年，這首歌哦。	music
科大訊飛今天的股票	stock
播放歌曲再見青春	music
怎麼煮麪纔好喫呢？	cookbook
23減去根號4	calc
我想聽首歌	music
幫我查一下杭州到長春的飛機航班	flight
但還是很差	chat
搜一下CCTV74月15號播出新編輯部的故事呢	epg
會英文嗎	chat
各來一首李白的詩詞。	poetry
我想看高爾夫網球頻道	tvchannel
央3	tvchannel
青春期撞上更年期二	video
中央六臺有什麼節目	epg
給我查一下最近在播哪些電影	cinemas
從杭州到黃山的汽車。	bus
你給我背一首白居易的詩。	poetry
我不在家英語怎麼說	translation
剛纔你說你叫啥來着	chat
爲什麼要請你	chat
打開uc瀏覽器v八	app
心術電影	video
提醒我明天約老同學。	schedule
我說鐵鍋燉羊肉怎麼做？	cookbook
你都會啥啊	chat
我們做愛吧用英文怎麼說	translation
怎麼教你變聰明	chat
中央四頻道火箭兜風	epg
朗讀詠雪	poetry
打開索尼官方網站	website
從西安到石嘴山的汽車票。	bus
電視臺在播什麼節目	epg
蘇寧易購	website
北京卡酷熊出沒	epg
你真笨，是四喜丸子怎麼做了。	cookbook
搜索最近的，科幻電影。	video
你啥時候出現的	chat
還是想知道你能做些什麼	chat
我要聽中超第二十，八輪的結果。	match
魚的做法	cookbook
七星彩	lottery
貴陽至長沙的火車票	train
新浪汽車	website
搞笑謎語。	riddle
求米線怎麼做？	cookbook
笨笨我不喜歡你這個名字你可以給自己換一個麼	chat
你怎麼知道呢	chat
把僑天慧的號碼發給副卡	contacts
搜索七樂彩的公示號碼	lottery
幫我搜一下科大訊飛在哪	map
我要去姜堰	map
打電話給摩托老師	telephone
命運派對	video
打開三星首頁	website
午飯怎麼辦	chat
但我想點新聞。	news
你好嗎你好嗎好嗎	chat
天氣怎樣	weather
孫翠魚怎麼做？	cookbook
CCTV少兒	tvchannel
從我這裏去芙蓉區政府怎麼去	map
查詢一汽轎車股票	stock
你叫什麼啊	chat
發送短信給陳羣	message
你是醫生嗎	chat
什麼東西	chat
牛肉怎麼煮纔好喫？你？	cookbook
幫我查一下15選5開獎結果	lottery
查個字謎。	riddle
麻煩您可不可以幫我調頻99.3嘉善人民廣播電臺	radio
但是我想上騰訊網	website
上海寶鋼股票	stock
章源鎢業	stock
巴中的天氣	weather
導航到佛山大良汽車站	map
黃豆豬蹄湯。	cookbook
激動	website
打電話給潘立長	telephone
到步行街不走高架的路線是哪條	map
搜索蒙牛的股市行情	stock
廣州到孝感的火車	train
搜狗	app
薛平貴與王寶釧	video
打電話零九一零二五六五三五四	telephone
洛陽的天氣	weather
你有牙嗎	chat
98.4香港電臺第四臺	radio
我不明白用英文怎麼講	translation
人福醫藥股票	stock
提是誰	chat
上週六發現之旅有演星跳水立方呢	epg
給曉琴發短信你在幹嗎	message
給原波發短信	message
陰精英語怎麼說	translation
後天去武漢的航班	flight
林芝喫什麼	chat
你知道我幾歲	chat
搜索中國移動的股市行情	stock
慕斯的做法。	cookbook
查詢昆明到合肥的火車	train
講點新聞	news
啥時候長大啊	chat
根號76	calc
就是很想看一下大衆影院	tvchannel
燉鰱魚怎麼做？	cookbook
那你教我怎麼搭訕好了	chat
江蘇影視	tvchannel
誰傻	chat
a排骨怎麼做好喫？	cookbook
我要看遊戲異界小說	novel
看中央七頻道講武堂節目	epg
石螺怎麼煮	cookbook
臨沂的天氣	weather
什麼季節	chat
給張克達發短信	message
小朋友的媽媽是誰	chat
有什麼用呢	chat
如何做芝麻糊。	cookbook
打電話給丹丹移動	telephone
尿道炎怎麼辦	health
女子特警隊之火鳳凰	video
十二與32的積是多少	calc
誰罵你	chat
怎麼做冰激凌？	cookbook
四川新聞網	website
影視流星花園	video
瓷我要上QQ	app
如何炒花生。	cookbook
南航1003	flight
講一個謎語和答案。	riddle
你認識微軟小冰嗎	chat
我心照明月後面一句是什麼？	poetry
福壽魚做法。	cookbook
幫我找到去安徽黃山的路	map
如何做煎餅。	cookbook
本週還有什麼待辦事項	schedule
喫啥藥	chat
﻿你好慢嗎！	chat
給青發短信	message
給我背個李白的詩。	poetry
如何治療頸椎病。	health
濟南到漢中的飛機票	flight
幫我搜索一下有什麼家常菜？	cookbook
打開相機我想你	app
怎麼分擔	chat
電視臺列表	tvchannel
看網易財經	website
你父母是誰	chat
馬家溝是個好學校嗎	chat
查看汕頭天氣	weather
寧波到岳陽的汽車。	bus
fm九零二	radio
智取威虎山	video
魚要怎麼煮纔好喫	cookbook
潘靖的電話是多少	contacts
我把相機打開	app
搜索下綠巨人	video
學而不厭，下一句是什麼？	poetry
打開uc瀏覽器登錄新浪網主頁	app
搜索熱門電影。	cinemas
前兩個星期時代出行有播X女特工呢	epg
教我做饅頭。	cookbook
酸菜是怎麼做的可以用塑料布。	cookbook
電視臺放什麼	epg
2013年中國男足，主要賽程。	match
陳楠帥嗎	chat
怎麼做洋蔥炒蛋？	cookbook
背屈原的離騷	poetry
幫我在百度裏搜一下東莞到北京的火車	train
查一下那個南京到昆明的火車	train
六臺有什麼節目	epg
最近有什麼熱門新聞了。	news
你喜歡玩什麼遊戲啊	chat
能幫我收聽淄博音樂廣播	radio
要看名偵探柯南	video
你認識嗎	chat
你不下去麼	chat
今天湖南衛視的電子節目單	epg
能想起我嗎	chat
田螺怎麼炒啊？	cookbook
北疆戰士	video
我說什麼	chat
查一查上影電影院即將上映的影片	cinemas
開心大冒險	video
查尋來賓到柳州的火車	train
那你背首唐詩給我聽。	poetry
我要打開百度	website
你體重超重了嗎	chat
找憤怒的小鳥	app
上美空網	website
中水漁業的股票	stock
很高興見到你英文怎麼講	translation
幹嘛好	chat
意大利麪。	cookbook
查查最近一週CCTV-4美洲有放我愛記歌詞麼	epg
搜索機鋒市場	app
查詢廣州到海南的航班	flight
你認識宮慶紅麼	chat
發短信給賢想快點給我送早飯開門我餓死了	message
烤雞翅怎麼做？	cookbook
怎麼不懂講晚安呢	chat
8點河北衛視播放過戀了愛了	epg
趕集	app
他教你這麼說的呀	chat
導航去科大訊飛	map
五八零零二二的市盈率是多少	stock
蛋糕好喫嗎	chat
索尼愛立信官網	website
鄭州火車站怎麼走	map
我要回復這條郵件	email
哪裏找小姐	chat
全部應答	email
看電影啊	video
這麼嚴肅的事爲什麼好笑呢	chat
你明白什麼	chat
查詢泉州到上海的動車票	train
寧波天氣情況	weather
什麼零食	chat
你想他幹嘛	chat
給木九超打電話	telephone
啊，青椒炒蛋。	cookbook
上海到合肥怎麼坐汽車？	bus
培根金針菇怎麼做？	cookbook
從連雲港到北京該怎麼走	map
誰的尾巴短短的	chat
您給我來一首，夏明翰的就義詩。	poetry
切換到a t v	tvchannel
回看上週末早上8點的湖南衛視	epg
把平水相逢的手機號碼發給8000	contacts
給張大萍發短信	message
播放黑貓警長。	music
我想看變形金剛三	video
加，聽新聞。	news
中國銀行股票怎麼樣	stock
查詢4月1號從武漢到廣州的航班	flight
搜王菲演唱會	video
廣州恆大亞冠聯賽，比賽時間。	match
那是啥	chat
西蘭花怎麼做？	cookbook
太原到廣州的車。	bus
醬茄條做法。	cookbook
那你喜歡做機器人麼	chat
你知道小寶寶上幼兒園哭嗎	chat
開啓雅虎	website
幫我寫個郵件	email
智慧樹	video
打開互聯網啦	website
寧波到杭州的汽車	bus
給莊小雷發短信	message
發信息給董昊老婆	message
蝦炒蛋怎麼做？	cookbook
打電話給鄭藝紅	telephone
今天天氣怎麼	chat
我想看搞定岳父大人電影	video
我去飛機場英語怎麼說	translation
四川美食。	cookbook
天利	stock
四喜丸子怎麼做？	cookbook
你來自哪個星球	chat
海南旅遊衛視	tvchannel
翻譯爸爸	translation
明天到合肥的火車	train
看看最近有什麼電影？	video
﻿怎麼坐車去廣州？	bus
庫裏是不是傻	chat
嗨喫晚飯了嗎	chat
給我來一首山歌嗎？	poetry
央視1高清	tvchannel
再來一個腦筋急轉彎	riddle
蘇電影我們都是壞孩子。	cinemas
中國共產主義的英文怎麼說	translation
上海到淮安的飛機	flight
提醒我明天約了老同學的小聚一下。	schedule
說一句，白居易的詩。	poetry
調頻到fm八八五	radio
打電話陳雪莉	telephone
瀏覽一下百度	website
把許琦彪的號碼發給徐鵬	contacts
明天8:10叫我啊!	schedule
查一下杭州到鷹潭的火車票	train
遼寧大連在哪裏	map
我想看愛情闖進門	video
來一首七言絕句。	poetry
chc高清電影昨天晚上的節目	epg
你是豬還是牛呀	chat
廈門到贛州的火車票	train
我想上網易	website
黃狼。	contacts
桔子英文怎麼說	translation
扁豆豆角怎麼燒？	cookbook
熊出沒是幾點開始播放。	epg
請問一下軍事新聞。	news
今天全椒天氣怎麼樣	weather
你會下象棋嗎	chat
替我打開新郵件	email
看一下中式傳媒股票的漲跌幅	stock
新建聯繫人張三電話號碼一二三四五	contacts
高清深圳臺	tvchannel
現在打開你的官網	website
米粉肉怎麼做？	cookbook
今天惠州新聞。	news
遊戲競技頻道	tvchannel
貓眼三姐妹	video
你這答覆邏輯也是沒誰了	chat
2013年陳可辛導演的好看的電影	video
松菜魚怎麼做？	cookbook
給我定一個8:10的鬧鐘。	schedule
給何建琴發短信	message
給楊燕姐發短信	message
明天的天氣是是什麼	weather
你不開心會做什麼	chat
張，來首白居易的詩。	poetry
念首詩聽一下。	poetry
可是我問你啥都聽不懂啊	chat
叫你笨笨你敢答應麼	chat
幫我翻譯一下番茄	translation
你給我念一首李白的詩。	poetry
南鋼	stock
香港杜琪峯導演的喜劇孤男寡女	video
深圳到開封的火車	train
搜索大樂透的中獎號碼	lottery
我上課罵了學生怎麼辦	chat
甲亢怎麼辦？	health
查看婷婷的號碼	contacts
龐軍軍英語怎麼說	translation
查詢沿途的KTV	map
嗯打開相機	app
查詢衆樂電影院最熱門的電影	cinemas
你的性別是什麼	chat
現在在哪	chat
天氣桂林	weather
從合肥去西安的火車	train
趕集網	website
什麼評論呀	chat
綠色的啥	chat
青島到廣州航班	flight
給吳方婷打電話	telephone
天機富春山居圖	video
13年的電影	video
天津電視臺的國際頻道，拜託了哈	tvchannel
做紅酒怎麼做啊？	cookbook
誰在雪裏跑	chat
誰跟你說沒對象了	chat
花格等蛋的做法。	cookbook
報點新聞給我聽。	news
給高興打電話	telephone
查一下明天福州的天氣	weather
南昌到廣州飛機票	flight
你出生在哪	chat
甄嬛傳高清	video
我所在地理位置	map
去網上搜索蘭陵王。	poetry
去廣州的火車票	train
查詢神鬼認證	video
買幾瓶	chat
國際象棋開局	app
肉肉怎麼醃製？	cookbook
你哪人啊	chat
CCTV-10的百家講壇	epg
打開河南英東網站	website
明天天氣如何	weather
完了你和多了你在哪裏自己都不知道咯	chat
瞌睡魚怎麼做？	cookbook
打開百度啊	website
呼和浩特的天氣怎麼樣呢	weather
你好請問一下明天廣州的天氣如何	weather
搜索武漢到南京的機票	flight
溫州到上海的車。	bus
打電話給王安娜	telephone
幺三零二三八四七三四二	telephone
太陽第九集	video
打給親愛的樓	telephone
導航到山東省菏澤市王浩屯鎮	map
天氣好不好啊	weather
﻿打開熊貓看書	app
我要聽還是會這首歌	music
查詢東吳證券的股票	stock
聊些什麼呢	chat
你有繩命嗎	chat
蛋炒飯怎麼煮	cookbook
蒸魚。	cookbook
今天杭州有什麼新聞	news
宮外孕怎麼辦？	health
焦點訪談什麼時候播	epg
你喜歡什麼啊	chat
打開手機QQ恩	app
湖北電視臺高清	tvchannel
中超比賽結果，今天呢？	match
金醬肉絲的做法	cookbook
上海申花的賽程。	match
到了有鱸魚怎麼做？	cookbook
晚上8:10叫我起牀。	schedule
我的幸福	video
蠔油生菜的做法。	cookbook
轉發這條mail	email
瘦肉粥。	cookbook
王志排骨怎麼做	cookbook
人之初，性本善下一句是什麼？	poetry
隨便唱幾首歌吧	music
今天電影頻道演什麼	epg
收聽中國人民廣播電臺廣播	radio
結婚了嗎	chat
打電話給魏文強	telephone
給張倩倩發短信	message
摩爾勇士	website
現在有什麼好看的電視劇？	epg
基哥喜歡我咋辦	chat
福爾摩斯	video
鈦備份	app
武間道	video
請幫我找一下酸菜魚的做法	cookbook
深圳今天天氣怎麼樣	weather
合肥明天的溼度如何	weather
明天南京到徐州的火車	train
打開會說話的湯姆貓	app
最近在播什麼電影？	cinemas
淋病怎麼辦	health
江蘇影視臺	tvchannel
給楊李鵬發短信	message
我要查股票	stock
花開半夏	video
怎麼做京醬肉絲。	cookbook
播七龍珠	video
廣州恆大的賽程。	match
你玩什麼遊戲打野	chat
聊不下去了怎麼辦	chat
請打開電影	video
我前任男朋友你猜是什麼職業	chat
玄幻小說《武動乾坤》	novel
來一首詠柳。	poetry
講一個謎語，啊，你，哦。	riddle
我想看董浩配音的動漫	video
喜歡男孩還是女孩	chat
爲什麼睡不着	chat
怎麼找女朋友	chat
進入設置菜單	app
替我查看新郵件	email
把徐程的電話發給吳芳	contacts
你是不是呆萌啊	chat
西藏衛視	tvchannel
大樂透的開獎情況	lottery
在哪喫	chat
打給曾瑋文	telephone
愛在何方第三期	video
水餃的做法。	cookbook
馮沙排骨怎麼做？	cookbook
有道詞典	app
偏頭痛怎麼治？	health
添加一條通訊錄姓名葛勇手機號碼189571642496	contacts
發短信給王亮說死人你在幹什麼呢	message
你除了喜歡我害羞的樣子還喜歡我的什麼呢	chat
播放法制進行時	video
現在哪個頻道播放電視劇	epg
白灼菜心怎麼做？	cookbook
嫁雞隨雞下面一句是什麼？	poetry
那烤箱做麪包怎麼做？	cookbook
安徽電視臺12月18號晚上10:10的電視劇	epg
放首歌給我聽吧	music
哈嘍好久不見你開心嗎	chat
我要看魔法神話小說	novel
杭州南站到龍游的火車有哪幾班	train
央視三臺現在播放什麼節目	epg
我看你還是不太行	chat
我想聽聽今天的新聞。	news
廣州至南寧航班。	flight
在哪裏出門右轉	chat
美好的時代	video
我想聽傷感歌曲	music
幫我查一下廣州到長沙的航班	flight
我要看免費的小說。	novel
是我是說你有幾個兄弟姐妹不是你自己說	chat
給姐姐發短信我今天晚上晚點回去你就別等我喫飯	message
那你願意嗎	chat
查尋天龍集團的股票	stock
打開三g門戶網站	website
你早上一般幾點起牀	chat
江山有奇峯，下一句。	poetry
朗讀遊子吟。	poetry
截癱吧	health
撥打電話給莊開森	telephone
五號特工組	video
你去哪用英文怎麼說	translation
我想今天新聞最近有什麼新的新聞？	news
大連天氣	weather
又熱炒雞蛋怎麼做？	cookbook
你叫什麼名字英文怎麼說	translation
趕緊推薦一部小說。	novel
打開節目搜索	video
魚香肉絲哦	cookbook
幫我搜一下中超3月份的對陣情況	match
現在星期幾	datetime
今天的新聞有什麼？	news
瀋陽喫什麼除了粘豆包烤冷麪燜子瀋陽喫什麼除了粘豆包烤冷麪燜子	chat
你可以做什麼	chat
多少月之後就是過年了	datetime
發燒好嗎？	health
呼叫零二二二九一一四八六	telephone
笨笨真的會聊天嗎	chat
請查詢豐城到南昌的火車列車列車時刻表	train
你知道什麼的什麼是什麼嗎	chat
你是啥啊	chat
幫我查下南京明天的天氣	weather
過油肉土豆片怎麼做？	cookbook
查一下沿途的科大訊飛	map
怎麼做炸雞	cookbook
教我怎麼做紅燒肉	cookbook
根號3是多少	calc
搞笑的鬼片	video
到環都大酒店怎麼走	map
說說嗎	chat
能告訴我你的性別麼	chat
妖精的尾巴	video
查詢上海到玉林的航班。	flight
打電話給奧巴馬	telephone
中國石化的股票是漲還是跌	stock
查看最近的日程	schedule
幫我來一首蘭陵王。	poetry
打開sky電話	app
海爾濱現在幾度！	chat
儋州到海口的航班	flight
咳嗽怎麼治？	health
嘉興糉子。	cookbook
誰在買扇子	chat
白麪粉可以怎樣做餅？	cookbook
椒鹽排骨怎麼做？你？	cookbook
打電話給胖頭	telephone
九江到景德鎮的汽車。	bus
