texts	labels
假單已結案，為何代理人沒有收到委辦單通知信件	eb2
我怎麼沒有報表保存系統的權限	eb3
報表系統權限	eb3
報表保存系統	eb3
找不到主管退件的文件	eb4
行員共通系統「eip」-畫面中無編輯按鈕可使用	eb4
主管退件的文件在哪裡找	eb4
為什麼電子信箱右下角顯示離線工作	eb5
為什麼工具列的電子信箱圖示出現紅色ｘ	eb5
開機帳號沒有被鎖住，為什麼不能寄信、收信	eb5
雙向通報發佈內容有誤，如何下架雙向通報	eb6
我該如何下嫁雙向通報	eb6
如和修改已上架通報資料	eb6
如何設定電子信箱簽名檔	eb7
如何讓電子信箱回覆轉寄時有簽名檔	eb7
如何在電子信箱新增電子郵件新信件時有簽名檔	eb7
如何讓電子信箱信件按照時間排序	eb8
電子信箱信件排序	eb8
為什麼電子信箱漏信	eb8
要怎麼找以前的信件	eb9
哪裡可以找很久以前的信	eb9
備存信件	eb9
草稿空白	eb10
看不到草稿	eb10
電子信箱草稿	eb10
電子信箱收件匣主旨欄位不見了	eb11
沒有 寄件者日期主旨 欄位	eb11
行員共通系統「notes」 忘記密碼	eb12
行員共通系統「notes」 登不進去	eb12
行員共通系統「notes」 id	eb12
行員共通系統「notes」 密碼被鎖	eb12
新進同仁帳號密碼	eb13
新進同仁開機登入密碼	eb13
新進同仁開機預設密碼 初始密碼	eb13
新進同仁密碼是什麼	eb13
怎麼變更密碼	eb14
密碼規則	eb14
「oant」 密碼變更	eb14
公用信箱如何變更密碼	eb15
公用信箱 密碼到期	eb15
總務信箱 密碼變更	eb15
外匯信箱 密碼變更	eb15
自助解鎖重設 收不到簡訊	eb16
如何修改手機號碼	eb16
已經修改手機號碼，但還是收不到簡訊	eb16
變更開機密碼失敗	eb17
開機密碼一天可以變更幾次	eb17
密碼原則、規則是什麼	eb17
如何增加鍵盤	eb18
倉頡 鍵盤 安裝	eb18
公用電腦登入名稱是什麼	eb19
忘記公用電腦登入名稱怎麼辦	eb19
公用電腦登錄部會操作	eb19
如何於電子信箱新增 總務 信箱	eb20
如何 綁定 信箱	eb20
加入 新信箱	eb20
需求單要如何銷案	eb21
需求單上沒有銷案的按鈕	eb21
需求單 銷案	eb21
主管卡不見了，應該要怎麼半	br1
如果主管卡被消磁了該怎麼處理比較好	br1
我要重新申請主管卡可是我不知道怎麼用	br1
我要怎麼登入櫃員系統	br2
櫃員系統試了好幾次都登不進去	br2
使用櫃員系統遇到了一些問題我該怎麼半	br2
目前好像不是最新版本的櫃員系統	br3
我想更新櫃員系統要如何更新	br3
我該如何更新nba會比較快	br3
開戶的過程好像跑出尚未結清的錯誤該如何處理	br4
錯誤訊息3030尚未結清	br4
3030問題	br4
出現錯誤訊息沒有結清	br4
影像出來的案件編號不同	cf2
匯出的影像檔跟掃描的不依樣	cf2
畫面和影像檔編號不同	cf2
出現ims-3099處理	cf3
沒有酒味往來的註記還是交易失敗	cf3
ims	cf3
3099	cf3
跳出異常0920	cf4
4704錯誤	cf4
錯誤0920，但查詢沒問題	cf4
匯入跳4704	cf4
跳紀錄不存在的益常	cf5
record not existed，怎麼事都失敗	cf5
調異常not existed	cf5
重啟多次還是record not exist	cf5
record not existed	cf5
外匯系統有問題議價失敗	cf6
益價339問題	cf6
益架系統，出現執行階段錯誤	cf6
外匯系統系統問題	cf6
外匯系統有問題該怎麼處理	cf6
法金器網銀登入不瞭	cf7
法金的網路銀行權限問題	cf7
企業網銀登不進去	cf7
怎麼新增行員法金的網路銀行全縣	cf7
理專沒法幫客戶用快譯通下單	wm1
用理財快譯通不能幫客戶下單嗎	wm1
一定要從財管系統下單嗎，不能從交易系統下單	wm1
理財專員沒法幫客戶處理基金下單問題	wm1
財富系統不能用	wm2
想開財富系統開不瞭	wm2
如何申請財富系統d的權限	wm2
財富系統怎麼開都進不去	wm2
信卡版網銀無法申請	df1
信用卡網銀沒辦法燈進去	df1
信卡網銀申請不了	df1
為何申請信卡版網銀無法成功，顧客已銷戶	df1
更改過基本資料，還是救的資料	df2
更改姓名了，網銀沒更新	df2
信卡顧客更名還是舊姓名	df2
生日更正後還是舊的生日	df2
e指開戶不能用	df3
e開戶有錯誤訊息	df3
客戶使用不了e指開戶	df3
連線玉時e指開戶	df3
信件收發系統密碼鎖定	rm1
mail收發系統離職更換	rm1
帳號密碼忘記了，信件收發系統	rm1
信件收發系統帳密鎖定登入失敗	rm1
公文傳成另外一個人該怎麼半	rm2
公文能不能退回或做處理權移轉	rm2
公文傳錯了	rm2
怎麼處理公文退回	rm2
變更email後紀錄怎麼都沒有更新	cc1
櫃員系統沒有更新，雖然email客戶已經更新了	cc1
基本資料的emai沒有變更，櫃員系統上的也沒有變更	cc1
行網銀沒有變更email	cc1
 j曹檔案刪除	ac1
需求速報單上面要寫那些東西 j曹珊東西	ac1
j曹檔案刪除的問題	ac1
刪除資料出現問題 j曹	ac1
行員共通系統「eip」彈出視窗 斷線	eb1
無法登入桌面	eb1
電子信箱斷線 連不上網	eb1
無法連結外往	eb1
同仁休假交接問題	eb2
休假交接	eb2
休假代理人問題不能抱	eb2
同仁休假	eb2
沒有權限可以使用報表	eb3
備存系統 權限維護	eb3
報表問題 報表全縣	eb3
報表沒有保存期限	eb3
主管退件行員共通系統「eip」	eb4
行員共通系統「eip」處理權轉移	eb4
行員共通系統「eip」 查看個人代辦	eb4
只看到關閉按鈕行員共通系統「eip」	eb4
行員共通系統「eip」-畫面中無編輯按鈕可使用	eb4
主管退件的文件在哪裡找	eb4
退件文件在哪裡	eb5
離線工作無法送寄信	eb5
電子信箱顯示不能用	eb5
電子信箱有問題 收步道信	eb5
雙向通報內容有問題	eb6
下嫁雙向通報	eb6
雙向通報的錯誤	eb6
上架資料修改 雙向通 報	eb6
怎麼修改雙向通報	eb6
我該如何下嫁雙向通報	eb6
如和修改已上架通報資料	eb6
電子信箱簽名檔	eb7
新增電子信箱簽名	eb7
回復轉寄可以用簽名檔嗎	eb7
簽名檔使用有限制嗎	eb7
電子信箱沒收到信件怎麼辦	eb8
沒收到電子信箱的信件	eb8
電子信箱有些信件不建了	eb8
如何按照時間排列電子信箱	eb8
電子信箱信件留存	eb9
信件有問題	eb9
被份信件問題	eb9
找步道信件	eb9
草稿布建	eb10
不建了草稿	eb10
看步道草稿	eb10
草稿有問題	eb10
電子信箱 寄件者欄位不知道	eb11
電子信箱有不見得欄位	eb11
電子信箱計件日期 主旨都不賤	eb11
電子信箱有問題	eb11
行員共通系統「notes」是不適壞掉了	eb12
旺季行員共通系統「notes」密碼	eb12
行員共通系統「notes」密碼登不進去	eb12
忘記帳密 行員共通系統「notes」	eb12
初登入員工帳密	eb13
員工帳號密碼新進同仁	eb13
新進員工忘記帳密	eb13
新進同仁密碼帳號	eb13
新進人員帳號密碼多少	eb13
「oant」變更密碼使用	eb14
變更密碼步驟	eb14
電腦密碼變更	eb14
變更密碼如何使用	eb14
怎麼變更密碼	eb14
公用信箱變更密碼	eb15
公用信箱如何變更密碼	eb15
公用email變更密碼	eb15
公用變更密碼問題email	eb15
行員共通系統「eip」 變更密碼	eb16
行員共通系統「eip」 重設密碼	eb16
線上姐所重設 簡訊 行員共通系統「eip」	eb16
簡訊沒收到重設米馬行員共通系統「eip」	eb16
密碼使用期限	eb17
密碼最短使用期限	eb17
密碼錯誤問題	eb17
變更密碼有問題	eb17
鍵盤新的增加	eb18
忘記公用電腦帳號	eb19
忘記公用電腦登入名稱怎麼辦	eb19
忘記電腦登入帳號	eb19
公用電腦登入帳號	eb19
電腦登入帳號旺季	eb19
忘記電腦登入帳號	eb19
請問登入電腦帳號	eb19
公用電腦登錄部會操作	eb19
電子信箱 新增 信箱	eb20
電子信箱 綁定	eb20
電子信箱 外匯問題	eb20
電子信箱 加入新的信箱	eb20
需求單處理問題	eb21
無法銷案的需求單問題	eb21
需求單銷案	eb21
找步道銷案需求單要按那裡	eb21
