	texts	labels
523	a排骨怎麼做好喫？	cookbook
524	我要看遊戲異界小說	novel
525	看中央七頻道講武堂節目	epg
526	石螺怎麼煮	cookbook
527	臨沂的天氣	weather
528	什麼季節	chat
529	給張克達發短信	message
530	小朋友的媽媽是誰	chat
531	有什麼用呢	chat
532	如何做芝麻糊。	cookbook
533	打電話給丹丹移動	telephone
534	尿道炎怎麼辦	health
535	女子特警隊之火鳳凰	video
536	十二與32的積是多少	calc
537	誰罵你	chat
538	怎麼做冰激凌？	cookbook
539	四川新聞網	website
540	影視流星花園	video
541	瓷我要上QQ	app
542	如何炒花生。	cookbook
543	南航1003	flight
544	講一個謎語和答案。	riddle
545	你認識微軟小冰嗎	chat
546	我心照明月後面一句是什麼？	poetry
547	福壽魚做法。	cookbook
548	幫我找到去安徽黃山的路	map
549	如何做煎餅。	cookbook
550	本週還有什麼待辦事項	schedule
551	喫啥藥	chat
552	﻿你好慢嗎！	chat
553	給青發短信	message
554	給我背個李白的詩。	poetry
555	如何治療頸椎病。	health
556	濟南到漢中的飛機票	flight
557	幫我搜索一下有什麼家常菜？	cookbook
558	打開相機我想你	app
559	怎麼分擔	chat
560	電視臺列表	tvchannel
561	看網易財經	website
562	你父母是誰	chat
563	馬家溝是個好學校嗎	chat
564	查看汕頭天氣	weather
565	寧波到岳陽的汽車。	bus
566	fm九零二	radio
567	智取威虎山	video
568	魚要怎麼煮纔好喫	cookbook
569	潘靖的電話是多少	contacts
570	我把相機打開	app
571	搜索下綠巨人	video
572	學而不厭，下一句是什麼？	poetry
573	打開uc瀏覽器登錄新浪網主頁	app
574	搜索熱門電影。	cinemas
575	前兩個星期時代出行有播X女特工呢	epg
576	教我做饅頭。	cookbook
577	酸菜是怎麼做的可以用塑料布。	cookbook
578	電視臺放什麼	epg
579	2013年中國男足，主要賽程。	match
580	陳楠帥嗎	chat
581	怎麼做洋蔥炒蛋？	cookbook
582	背屈原的離騷	poetry
583	幫我在百度裏搜一下東莞到北京的火車	train
584	查一下那個南京到昆明的火車	train
585	六臺有什麼節目	epg
586	最近有什麼熱門新聞了。	news
587	你喜歡玩什麼遊戲啊	chat
588	能幫我收聽淄博音樂廣播	radio
589	要看名偵探柯南	video
590	你認識嗎	chat
591	你不下去麼	chat
592	今天湖南衛視的電子節目單	epg
593	能想起我嗎	chat
594	田螺怎麼炒啊？	cookbook
595	北疆戰士	video
596	我說什麼	chat
597	查一查上影電影院即將上映的影片	cinemas
598	開心大冒險	video
599	查尋來賓到柳州的火車	train
600	那你背首唐詩給我聽。	poetry
601	我要打開百度	website
602	你體重超重了嗎	chat
603	找憤怒的小鳥	app
604	上美空網	website
605	中水漁業的股票	stock
606	很高興見到你英文怎麼講	translation
607	幹嘛好	chat
608	意大利麪。	cookbook
609	查查最近一週CCTV-4美洲有放我愛記歌詞麼	epg
610	搜索機鋒市場	app
611	查詢廣州到海南的航班	flight
612	你認識宮慶紅麼	chat
613	發短信給賢想快點給我送早飯開門我餓死了	message
614	烤雞翅怎麼做？	cookbook
615	怎麼不懂講晚安呢	chat
616	8點河北衛視播放過戀了愛了	epg
617	趕集	app
618	他教你這麼說的呀	chat
619	導航去科大訊飛	map
620	五八零零二二的市盈率是多少	stock
621	蛋糕好喫嗎	chat
622	索尼愛立信官網	website
623	鄭州火車站怎麼走	map
624	我要回復這條郵件	email
625	哪裏找小姐	chat
626	全部應答	email
627	看電影啊	video
628	這麼嚴肅的事爲什麼好笑呢	chat
629	你明白什麼	chat
630	查詢泉州到上海的動車票	train
631	寧波天氣情況	weather
632	什麼零食	chat
633	你想他幹嘛	chat
634	給木九超打電話	telephone
635	啊，青椒炒蛋。	cookbook
636	上海到合肥怎麼坐汽車？	bus
637	培根金針菇怎麼做？	cookbook
638	從連雲港到北京該怎麼走	map
639	誰的尾巴短短的	chat
640	您給我來一首，夏明翰的就義詩。	poetry
641	切換到a t v	tvchannel
642	回看上週末早上8點的湖南衛視	epg
643	把平水相逢的手機號碼發給8000	contacts
644	給張大萍發短信	message
645	播放黑貓警長。	music
646	我想看變形金剛三	video
647	加，聽新聞。	news
648	中國銀行股票怎麼樣	stock
649	查詢4月1號從武漢到廣州的航班	flight
650	搜王菲演唱會	video
651	廣州恆大亞冠聯賽，比賽時間。	match
652	那是啥	chat
653	西蘭花怎麼做？	cookbook
654	太原到廣州的車。	bus
655	醬茄條做法。	cookbook
656	那你喜歡做機器人麼	chat
657	你知道小寶寶上幼兒園哭嗎	chat
658	開啓雅虎	website
659	幫我寫個郵件	email
660	智慧樹	video
661	打開互聯網啦	website
662	寧波到杭州的汽車	bus
663	給莊小雷發短信	message
664	發信息給董昊老婆	message
665	蝦炒蛋怎麼做？	cookbook
666	打電話給鄭藝紅	telephone
667	今天天氣怎麼	chat
668	我想看搞定岳父大人電影	video
669	我去飛機場英語怎麼說	translation
670	四川美食。	cookbook
671	天利	stock
672	四喜丸子怎麼做？	cookbook
673	你來自哪個星球	chat
674	海南旅遊衛視	tvchannel
675	翻譯爸爸	translation
676	明天到合肥的火車	train
677	看看最近有什麼電影？	video
678	﻿怎麼坐車去廣州？	bus
679	庫裏是不是傻	chat
680	嗨喫晚飯了嗎	chat
681	給我來一首山歌嗎？	poetry
682	央視1高清	tvchannel
683	再來一個腦筋急轉彎	riddle
684	蘇電影我們都是壞孩子。	cinemas
685	中國共產主義的英文怎麼說	translation
686	上海到淮安的飛機	flight
687	提醒我明天約了老同學的小聚一下。	schedule
688	說一句，白居易的詩。	poetry
689	調頻到fm八八五	radio
690	打電話陳雪莉	telephone
691	瀏覽一下百度	website
692	把許琦彪的號碼發給徐鵬	contacts
693	明天8:10叫我啊!	schedule
694	查一下杭州到鷹潭的火車票	train
695	遼寧大連在哪裏	map
696	我想看愛情闖進門	video
697	來一首七言絕句。	poetry
698	chc高清電影昨天晚上的節目	epg
699	你是豬還是牛呀	chat
700	廈門到贛州的火車票	train
701	我想上網易	website
702	黃狼。	contacts
703	桔子英文怎麼說	translation
704	扁豆豆角怎麼燒？	cookbook
705	熊出沒是幾點開始播放。	epg
706	請問一下軍事新聞。	news
707	今天全椒天氣怎麼樣	weather
708	你會下象棋嗎	chat
709	替我打開新郵件	email
710	看一下中式傳媒股票的漲跌幅	stock
711	新建聯繫人張三電話號碼一二三四五	contacts
712	高清深圳臺	tvchannel
713	現在打開你的官網	website
714	米粉肉怎麼做？	cookbook
715	今天惠州新聞。	news
716	遊戲競技頻道	tvchannel
717	貓眼三姐妹	video
718	你這答覆邏輯也是沒誰了	chat
719	2013年陳可辛導演的好看的電影	video
720	松菜魚怎麼做？	cookbook
721	給我定一個8:10的鬧鐘。	schedule
722	給何建琴發短信	message
723	給楊燕姐發短信	message
724	明天的天氣是是什麼	weather
725	你不開心會做什麼	chat
726	張，來首白居易的詩。	poetry
727	念首詩聽一下。	poetry
728	可是我問你啥都聽不懂啊	chat
729	叫你笨笨你敢答應麼	chat
730	幫我翻譯一下番茄	translation
731	你給我念一首李白的詩。	poetry
732	南鋼	stock
733	香港杜琪峯導演的喜劇孤男寡女	video
734	深圳到開封的火車	train
735	搜索大樂透的中獎號碼	lottery
736	我上課罵了學生怎麼辦	chat
737	甲亢怎麼辦？	health
738	查看婷婷的號碼	contacts
739	龐軍軍英語怎麼說	translation
740	查詢沿途的KTV	map
741	嗯打開相機	app
742	查詢衆樂電影院最熱門的電影	cinemas
743	你的性別是什麼	chat
744	現在在哪	chat
745	天氣桂林	weather
746	從合肥去西安的火車	train
747	趕集網	website
748	什麼評論呀	chat
749	綠色的啥	chat
750	青島到廣州航班	flight
751	給吳方婷打電話	telephone
752	天機富春山居圖	video
753	13年的電影	video
754	天津電視臺的國際頻道，拜託了哈	tvchannel
755	做紅酒怎麼做啊？	cookbook
756	誰在雪裏跑	chat
757	誰跟你說沒對象了	chat
758	花格等蛋的做法。	cookbook
759	報點新聞給我聽。	news
760	給高興打電話	telephone
761	查一下明天福州的天氣	weather
762	南昌到廣州飛機票	flight
763	你出生在哪	chat
764	甄嬛傳高清	video
765	我所在地理位置	map
766	去網上搜索蘭陵王。	poetry
767	去廣州的火車票	train
768	查詢神鬼認證	video
769	買幾瓶	chat
770	國際象棋開局	app
771	肉肉怎麼醃製？	cookbook
772	你哪人啊	chat
773	CCTV-10的百家講壇	epg
774	打開河南英東網站	website
775	明天天氣如何	weather
776	完了你和多了你在哪裏自己都不知道咯	chat
777	瞌睡魚怎麼做？	cookbook
778	打開百度啊	website
779	呼和浩特的天氣怎麼樣呢	weather
780	你好請問一下明天廣州的天氣如何	weather
781	搜索武漢到南京的機票	flight
782	溫州到上海的車。	bus
783	打電話給王安娜	telephone
784	幺三零二三八四七三四二	telephone
785	太陽第九集	video
786	打給親愛的樓	telephone
787	導航到山東省菏澤市王浩屯鎮	map
788	天氣好不好啊	weather
789	﻿打開熊貓看書	app
790	我要聽還是會這首歌	music
791	查詢東吳證券的股票	stock
792	聊些什麼呢	chat
793	你有繩命嗎	chat
794	蛋炒飯怎麼煮	cookbook
795	蒸魚。	cookbook
796	今天杭州有什麼新聞	news
797	宮外孕怎麼辦？	health
798	焦點訪談什麼時候播	epg
799	你喜歡什麼啊	chat
800	打開手機QQ恩	app
801	湖北電視臺高清	tvchannel
802	中超比賽結果，今天呢？	match
803	金醬肉絲的做法	cookbook
804	上海申花的賽程。	match
805	到了有鱸魚怎麼做？	cookbook
806	晚上8:10叫我起牀。	schedule
807	我的幸福	video
808	蠔油生菜的做法。	cookbook
809	轉發這條mail	email
810	瘦肉粥。	cookbook
811	王志排骨怎麼做	cookbook
812	人之初，性本善下一句是什麼？	poetry
813	隨便唱幾首歌吧	music
814	今天電影頻道演什麼	epg
815	收聽中國人民廣播電臺廣播	radio
816	結婚了嗎	chat
817	打電話給魏文強	telephone
818	給張倩倩發短信	message
819	摩爾勇士	website
820	現在有什麼好看的電視劇？	epg
821	基哥喜歡我咋辦	chat
822	福爾摩斯	video
823	鈦備份	app
824	武間道	video
825	請幫我找一下酸菜魚的做法	cookbook
826	深圳今天天氣怎麼樣	weather
827	合肥明天的溼度如何	weather
828	明天南京到徐州的火車	train
829	打開會說話的湯姆貓	app
830	最近在播什麼電影？	cinemas
831	淋病怎麼辦	health
832	江蘇影視臺	tvchannel
833	給楊李鵬發短信	message
834	我要查股票	stock
835	花開半夏	video
836	怎麼做京醬肉絲。	cookbook
